Squad,Season,Opposition,Numbers,Call,CallType,Setup,Movement,Area,Drive,Crusaders,Transfer,Flyby,Hooker,Jumper,Won
1st,2023/24,Weybridge Vandals,6,C1,New,C,Move,Back,True,False,False,,Ben,Ryland,True
1st,2023/24,Weybridge Vandals,4,No,4-man only,,Dummy,Front,False,False,False,,Ben,Sam,True
1st,2023/24,Weybridge Vandals,4,Snap,4-man only,,Jump,Front,True,False,False,,Ben,John,True
1st,2023/24,Weybridge Vandals,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,John,True
1st,2023/24,Weybridge Vandals,6,C1,New,C,Move,Back,True,False,False,,Ben,Ryland,True
1st,2023/24,Weybridge Vandals,6,A2,New,A,Dummy,Front,False,False,False,,Ben,Sam,True
1st,2023/24,Weybridge Vandals,6,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2023/24,Weybridge Vandals,4,A2,New,A,Dummy,Front,False,False,False,,Ben,Sam,False
1st,2023/24,Weybridge Vandals,5,Red,Old,,Jump,Front,False,False,False,,Ben,Ryland,True
1st,2023/24,Weybridge Vandals,4,,Other,,Jump,Back,False,False,False,,Ben,Sam,False
1st,2023/24,Weybridge Vandals,6,C1,New,C,Move,Back,True,False,False,,Ben,Ryland,True
1st,2023/24,Weybridge Vandals,6,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2023/24,Hove,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Sam,False
1st,2023/24,Hove,7,A2,New,A,Dummy,Front,True,False,False,,Ben,Ryland,True
1st,2023/24,Hove,5,Red,Old,,Jump,Front,False,False,False,,Ben,John,True
1st,2023/24,Hove,7,A2,New,A,Dummy,Front,True,False,False,,Ben,Ryland,True
1st,2023/24,Hove,7,C2,New,C,Move,Front,False,False,False,,Ben,John,False
1st,2023/24,Hove,4,Snap,4-man only,,Jump,Front,True,False,False,,Ben,John,True
1st,2023/24,Hove,4,No,4-man only,,Dummy,Front,False,False,False,,Ben,Sam,True
1st,2023/24,Hove,7,A2,New,A,Dummy,Front,False,False,False,,Ben,Ryland,True
1st,2023/24,Hove,4,Snap,4-man only,,Jump,Front,True,False,False,,Ben,John,True
1st,2023/24,Hove,4,,Other,,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Hove,4,,Other,,Jump,Middle,False,False,False,,Ben,Sam,False
1st,2023/24,Hove,6,C2,New,C,Move,Front,True,False,False,,Ben,John,True
1st,2023/24,Hove,4,Snap,4-man only,,Jump,Front,True,False,False,,Ben,John,False
1st,2023/24,Trinity,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Rory,True
1st,2023/24,Trinity,4,,Other,,Jump,Back,False,False,False,,Ben,Sam,True
1st,2023/24,Trinity,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Rory,True
1st,2023/24,Trinity,4,,Other,,Jump,Back,False,False,False,,Ben,Sam,True
1st,2023/24,Trinity,7,C1,New,C,Move,Back,False,False,False,,Ben,Aaron,True
1st,2023/24,Trinity,4,Snap,4-man only,,Jump,Front,True,False,False,,Ben,Rory,True
1st,2023/24,Trinity,5,Red,Old,,Jump,Front,True,False,False,,Ben,Ryland,True
1st,2023/24,Trinity,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Rory,False
1st,2023/24,Trinity,7,C1,New,C,Move,Back,False,False,False,,Ben,Aaron,False
1st,2023/24,Trinity,4,,Other,,Jump,Back,False,False,False,,Ben,Ryland,True
1st,2023/24,Trinity,4,Snap,4-man only,,Jump,Front,True,False,False,,Ben,Ryland,True
1st,2023/24,Trinity,4,Yes,4-man only,,Move,Back,False,False,False,,Ben,Sam,True
1st,2023/24,Trinity,4,Snap,4-man only,,Jump,Front,True,False,False,,Ben,Ryland,True
1st,2023/24,Trinity,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Tom B,True
1st,2023/24,Trinity,5,RD,Old,,Dummy,Middle,False,False,False,,Ben,Sam,False
1st,2023/24,Old Tiffinians,5,,Other,,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Old Tiffinians,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,John,True
1st,2023/24,Old Tiffinians,5,RD,Old,,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Old Tiffinians,7,C3,New,C,Dummy,Middle,True,False,False,,Ben,Sam,True
1st,2023/24,Old Tiffinians,7,A2,New,A,Dummy,Front,True,False,False,,Ben,John,True
1st,2023/24,Old Tiffinians,4,Snap,4-man only,,Jump,Front,True,False,False,,Ben,John,True
1st,2023/24,Old Tiffinians,5,,Other,,Jump,Middle,False,False,False,,Ben,Sam,False
1st,2023/24,Old Tiffinians,7,A2,New,A,Dummy,Front,True,False,False,,Ben,John,True
1st,2023/24,Old Tiffinians,4,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2023/24,Old Tiffinians,7,C3,New,C,Dummy,Middle,True,False,False,,Ben,Sam,True
1st,2023/24,Old Tiffinians,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Ryland,True
1st,2023/24,Old Tiffinians,7,C1,New,C,Move,Back,False,False,False,,Ben,John,True
1st,2023/24,Old Tiffinians,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,John,False
1st,2023/24,Old Tiffinians,4,No,4-man only,,Dummy,Front,False,False,False,,Ben,Sam,True
1st,2023/24,Old Walcountians,5,Red,Old,,Jump,Front,False,False,False,,Ben,John,True
1st,2023/24,Old Walcountians,7,C2,New,C,Move,Front,True,False,False,,Ben,John,True
1st,2023/24,Old Walcountians,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Ryland,False
1st,2023/24,Old Walcountians,4,,Other,,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Old Walcountians,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Ryland,True
1st,2023/24,Old Walcountians,7,A2,New,A,Dummy,Front,True,False,False,,Ben,John,True
1st,2023/24,Old Walcountians,5,,Other,,Jump,Back,False,False,False,,Ben,Sam,True
1st,2023/24,Old Walcountians,7,C1,New,C,Move,Back,True,False,False,,Ben,Sam,True
1st,2023/24,Old Walcountians,7,C3,New,C,Dummy,Middle,True,False,False,,Ben,Ryland,True
1st,2023/24,Old Walcountians,7,C1,New,C,Move,Back,True,False,False,,Ben,Sam,True
1st,2023/24,Old Walcountians,7,C1,New,C,Move,Back,False,False,False,,Ben,Sam,True
1st,2023/24,Teddington,7,C3,New,C,Dummy,Middle,True,False,False,,Ben,Sam,False
1st,2023/24,Teddington,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,Ryland,True
1st,2023/24,Teddington,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Sam,False
1st,2023/24,Teddington,7,C1,New,C,Move,Back,False,False,False,,Ben,Sam,True
1st,2023/24,Teddington,4,,Other,,Jump,Middle,False,False,False,,Ben,Sam,False
1st,2023/24,Teddington,5,,Other,,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Teddington,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,John,True
1st,2023/24,Teddington,4,No,4-man only,,Dummy,Front,True,False,False,,Ben,Sam,True
1st,2023/24,Teddington,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Ryland,False
1st,2023/24,Teddington,4,Snap,4-man only,,Jump,Front,False,False,False,,Josh,Ryland,False
1st,2023/24,Teddington,5,,Other,,Jump,Middle,True,False,False,,Josh,John,True
1st,2023/24,Teddington,5,Red,Old,,Jump,Front,False,False,False,,Josh,Ryland,False
1st,2023/24,Teddington,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Ryland,True
1st,2023/24,Teddington,7,A2,New,A,Dummy,Front,True,False,False,,Ben,John,True
1st,2023/24,Teddington,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,Ryland,True
1st,2023/24,Teddington,5,Red,Old,,Jump,Front,False,False,False,,Ben,Ryland,True
1st,2023/24,Teddington,6,C3,New,C,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Teddington,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,John,False
1st,2023/24,Teddington,5,RD,Old,,Dummy,Middle,False,False,False,,Ben,John,True
1st,2023/24,Teddington,7,A2,New,A,Dummy,Front,True,False,False,,Ben,John,True
1st,2023/24,Teddington,7,A2,New,A,Dummy,Front,False,False,False,,Ben,John,False
1st,2023/24,Eastbourne,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Sam,True
1st,2023/24,Eastbourne,4,Snap,4-man only,,Jump,Front,True,False,False,,Ben,Ryland,True
1st,2023/24,Eastbourne,4,,Other,,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Eastbourne,7,C3,New,C,Dummy,Middle,True,False,False,,Ben,Sam,True
1st,2023/24,Eastbourne,7,A2,New,A,Dummy,Front,True,False,False,,Ben,Ryland,True
1st,2023/24,Eastbourne,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Sam,False
1st,2023/24,Eastbourne,5,,Other,,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Eastbourne,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Eastbourne,7,C1,New,C,Move,Back,False,False,False,,Ben,Dan B,False
1st,2023/24,Eastbourne,4,Yes,4-man only,,Move,Back,False,False,False,,Mark,Sam,False
1st,2023/24,Eastbourne,7,C3,New,C,Dummy,Middle,True,False,False,,Mark,Sam,True
1st,2023/24,Weybridge Vandals,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Ryland,False
1st,2023/24,Weybridge Vandals,7,A2,New,A,Dummy,Front,True,False,False,,Ben,Dan B,True
1st,2023/24,Weybridge Vandals,7,H2,New,H,Jump,Front,True,False,False,,Ben,Aaron,True
1st,2023/24,Weybridge Vandals,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Ryland,False
1st,2023/24,Weybridge Vandals,4,,Other,,Jump,Middle,False,False,False,,Ben,Ryland,False
1st,2023/24,Weybridge Vandals,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Ryland,False
1st,2023/24,Weybridge Vandals,7,C1,New,C,Move,Back,False,False,False,,Ben,Dan B,False
1st,2023/24,Weybridge Vandals,7,A2,New,A,Dummy,Front,True,False,False,,Ben,Dan B,True
1st,2023/24,Weybridge Vandals,7,C1,New,C,Move,Back,False,False,False,,Ben,Ryland,True
1st,2023/24,Weybridge Vandals,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Ryland,True
1st,2023/24,Weybridge Vandals,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Ryland,True
1st,2023/24,Weybridge Vandals,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Ryland,True
1st,2023/24,Weybridge Vandals,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Ryland,False
1st,2023/24,Hove,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Hove,4,,Other,,Jump,Back,False,False,False,,Ben,Sam,True
1st,2023/24,Hove,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Hove,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Hove,4,,Other,,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Hove,7,A3,New,A,Dummy,Front,False,False,False,2.0,Ben,Aaron,True
1st,2023/24,Hove,7,H3,New,H,Jump,Middle,False,True,False,,Ben,Sam,True
1st,2023/24,Hove,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Sam,False
1st,2023/24,Hove,4,,Other,,Jump,Back,False,False,False,,Ben,Sam,True
1st,2023/24,Hove,7,C1,New,C,Move,Back,False,False,False,,Ben,Sam,True
1st,2023/24,Hove,7,A2,New,A,Dummy,Front,False,False,False,,Ben,Aaron,True
1st,2023/24,Hove,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Hove,7,A2,New,A,Dummy,Front,False,False,False,2.0,Ben,Dan B,True
1st,2023/24,Hove,4,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2023/24,Twickenham,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Twickenham,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Sam,False
1st,2023/24,Twickenham,4,Snap,4-man only,,Jump,Front,True,False,False,,Ben,Ryland,True
1st,2023/24,Twickenham,7,A2,New,A,Dummy,Front,False,False,False,,Ben,Ryland,False
1st,2023/24,Twickenham,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Sam,False
1st,2023/24,Twickenham,4,,Other,,Jump,Back,False,False,False,,Ben,Sam,False
1st,2023/24,Twickenham,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Twickenham,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Twickenham,7,A2,New,A,Dummy,Front,False,False,False,2.0,Ben,Ryland,True
1st,2023/24,Twickenham,7,A3,New,A,Dummy,Middle,True,False,False,,Mark,Sam,True
1st,2023/24,Twickenham,4,,Other,,Jump,Back,True,False,False,,Mark,Sam,True
1st,2023/24,Twickenham,7,C3,New,C,Dummy,Middle,True,False,False,,Mark,Sam,True
1st,2023/24,Twickenham,4,Snap,4-man only,,Jump,Front,False,False,False,,Mark,Ryland,False
1st,2023/24,Twickenham,5,Red,Old,,Jump,Front,False,False,False,,Mark,Ryland,False
1st,2023/24,Twickenham,7,A3,New,A,Dummy,Middle,False,True,False,,Mark,Sam,True
1st,2023/24,Twickenham,7,A3,New,A,Dummy,Middle,False,False,False,,Mark,Sam,True
1st,2023/24,Twickenham,4,,Other,,Jump,Back,False,False,False,,Mark,Sam,False
1st,2023/24,Twickenham,7,H2,New,H,Jump,Front,False,False,False,,Mark,Tom M,False
1st,2023/24,Twickenham,7,A3,New,A,Dummy,Middle,True,False,False,,Mark,Sam,True
1st,2023/24,Dover,7,H3,New,H,Jump,Middle,True,False,False,,Ben,Dan B,True
1st,2023/24,Dover,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Dan B,True
1st,2023/24,Dover,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Dan B,True
1st,2023/24,Dover,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Dan B,False
1st,2023/24,Dover,7,C2,New,C,Move,Front,False,False,False,,Ben,Ryland,False
1st,2023/24,Dover,7,A1,New,A,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2023/24,Dover,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Dan B,False
1st,2023/24,Dover,4,Snap,4-man only,,Jump,Front,True,False,False,,Ben,Ryland,True
1st,2023/24,Dover,7,C3,New,C,Dummy,Middle,True,False,False,,Ben,Dan B,True
1st,2024/25,London Cornish,7,A2,New,A,Dummy,Front,True,False,False,,Ben,Ryland,True
1st,2024/25,London Cornish,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Dan B,True
1st,2024/25,London Cornish,7,A1,New,A,Dummy,Back,False,False,False,,Ben,Sam,True
1st,2024/25,London Cornish,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Dan B,False
1st,2024/25,London Cornish,7,C1,New,C,Move,Back,False,False,False,,Ben,Sam,True
1st,2024/25,London Cornish,7,C2,New,C,Move,Front,True,False,False,,Ben,Ryland,True
1st,2024/25,London Cornish,7,H1,New,H,Jump,Back,False,False,False,,Ben,Sam,True
1st,2024/25,London Cornish,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Dan B,True
1st,2024/25,London Cornish,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Tom M,True
1st,2024/25,London Cornish,7,C3,New,C,Dummy,Middle,True,False,False,,Ben,Dan B,False
1st,2024/25,London Cornish,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Dan B,True
1st,2024/25,London Cornish,7,A1,New,A,Dummy,Back,False,False,False,,Ben,Sam,True
1st,2024/25,London Cornish,7,C2,New,C,Move,Front,True,False,False,,Ben,Ryland,True
1st,2024/25,Haywards Heath,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Tom M,True
1st,2024/25,Haywards Heath,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Tom M,True
1st,2024/25,Haywards Heath,7,C1,New,C,Move,Back,False,False,False,,Ben,Sam,True
1st,2024/25,Haywards Heath,7,A1,New,A,Dummy,Back,False,False,False,,Ben,Sam,True
1st,2024/25,Haywards Heath,7,C3,New,C,Dummy,Middle,False,True,False,,Ben,Tom M,True
1st,2024/25,Haywards Heath,7,H3,New,H,Jump,Middle,False,True,False,,Ben,Tom M,False
1st,2024/25,Haywards Heath,7,H1,New,H,Jump,Back,False,False,False,,Ben,Sam,True
1st,2024/25,Haywards Heath,7,C1,New,C,Move,Back,False,False,False,,Ben,Sam,False
1st,2024/25,Haywards Heath,7,A2,New,A,Dummy,Front,False,True,False,,Ben,Ryland,True
1st,2024/25,Hove,7,H3,New,H,Jump,Middle,True,False,False,,George,Tom M,True
1st,2024/25,Hove,7,A2,New,A,Dummy,Front,True,False,False,,George,John,True
1st,2024/25,Hove,7,C3,New,C,Dummy,Middle,True,False,False,,George,Tom M,True
1st,2024/25,Hove,7,A3,New,A,Dummy,Middle,True,False,False,,George,Tom M,True
1st,2024/25,Hove,6,C1,New,C,Move,Back,False,False,False,,George,Sam,False
1st,2024/25,Hove,7,C2,New,C,Move,Front,True,False,False,,George,John,True
1st,2024/25,Hove,7,H3,New,H,Jump,Middle,False,False,False,,George,Tom M,False
1st,2024/25,Hove,7,A3,New,A,Dummy,Middle,False,False,False,,George,Tom M,False
1st,2024/25,Hove,7,A1,New,A,Dummy,Back,False,False,False,,George,Sam,True
1st,2024/25,Hove,7,H3,New,H,Jump,Middle,False,False,False,,George,Tom M,True
1st,2024/25,Hove,7,C1,New,C,Move,Back,False,False,False,,George,Sam,False
1st,2024/25,Twickenham,7,C3,New,C,Dummy,Middle,False,False,False,,George,Tom M,True
1st,2024/25,Twickenham,7,A3,New,A,Dummy,Middle,True,False,False,,George,Tom M,True
1st,2024/25,Twickenham,7,H3,New,H,Jump,Middle,True,False,False,,George,Tom M,True
1st,2024/25,Twickenham,7,H3,New,H,Jump,Middle,False,False,False,,George,Tom M,False
1st,2024/25,Twickenham,7,A2,New,A,Dummy,Front,True,False,False,,George,Ryland,True
1st,2024/25,Twickenham,7,A3,New,A,Dummy,Middle,True,False,False,,George,Tom M,False
1st,2024/25,Twickenham,7,H3,New,H,Jump,Middle,False,True,False,,George,Tom M,True
1st,2024/25,Twickenham,7,C1,New,C,Move,Back,False,False,False,,George,Sam,False
1st,2024/25,Twickenham,7,H3,New,H,Jump,Middle,False,True,False,,George,Tom M,True
1st,2024/25,Twickenham,7,H3,New,H,Jump,Middle,False,False,False,,George,Tom M,False
1st,2024/25,Twickenham,7,A3,New,A,Dummy,Middle,True,False,False,,George,Tom M,True
1st,2024/25,Twickenham,7,A3,New,A,Dummy,Middle,True,False,False,,George,Tom M,True
1st,2024/25,Twickenham,7,C2,New,C,Move,Front,True,False,False,,George,Ryland,True
1st,2024/25,Twickenham,7,A2,New,A,Dummy,Front,True,False,False,,George,Ryland,True
1st,2024/25,KCS Old Boys,7,A3,New,A,Dummy,Middle,True,False,False,,George,Tom M,True
1st,2024/25,KCS Old Boys,7,H3,New,H,Jump,Middle,False,False,False,,George,Tom M,False
1st,2024/25,KCS Old Boys,7,C3,New,C,Dummy,Middle,True,False,False,,George,Tom M,True
1st,2024/25,KCS Old Boys,7,C1,New,C,Move,Back,False,False,False,,George,Sam,False
1st,2024/25,KCS Old Boys,7,A3,New,A,Dummy,Middle,True,False,False,,George,Tom M,True
1st,2024/25,KCS Old Boys,7,A3,New,A,Dummy,Middle,False,False,False,,George,Tom M,True
1st,2024/25,KCS Old Boys,7,H1,New,H,Jump,Back,False,False,False,,George,Sam,True
1st,2024/25,KCS Old Boys,7,C3,New,C,Dummy,Middle,False,False,False,,George,Tom M,False
1st,2024/25,KCS Old Boys,7,A2,New,A,Dummy,Front,False,False,False,,George,Ryland,False
1st,2024/25,Eastbourne,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Tom M,False
1st,2024/25,Eastbourne,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Tom M,False
1st,2024/25,Eastbourne,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Tom M,False
1st,2024/25,Eastbourne,7,A2,New,A,Dummy,Front,True,False,False,,Ben,John,True
1st,2024/25,Eastbourne,7,A2,New,A,Dummy,Front,True,False,False,,Ben,John,True
1st,2024/25,Eastbourne,7,A2,New,A,Dummy,Front,False,False,False,,George,John,True
1st,2024/25,Eastbourne,7,A2,New,A,Dummy,Front,False,False,False,,George,John,False
1st,2024/25,Eastbourne,7,A3,New,A,Dummy,Middle,False,False,False,,George,Tom M,False
1st,2024/25,Trinity,7,A*,New,A,Jump,Middle,False,False,False,,Ben,John,True
1st,2024/25,Trinity,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Ryland,False
1st,2024/25,Trinity,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Ryland,True
1st,2024/25,Trinity,7,A2,New,A,Dummy,Front,False,False,False,,Ben,John,True
1st,2024/25,Trinity,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Tom M,True
1st,2024/25,Trinity,7,C3,New,C,Dummy,Middle,True,False,False,,Ben,Tom M,True
1st,2024/25,Trinity,7,A3,New,A,Dummy,Middle,False,False,False,,George,Tom M,True
1st,2024/25,Old Rutlishians,7,A2,New,A,Dummy,Front,True,False,False,,Ben,John,True
1st,2024/25,Old Rutlishians,7,A2,New,A,Dummy,Front,False,False,False,,Ben,Ryland,False
1st,2024/25,Old Rutlishians,7,A2,New,A,Dummy,Middle,True,False,False,,Ben,John,True
1st,2024/25,Old Rutlishians,7,H2,New,H,Jump,Front,True,False,False,,Ben,Ryland,True
1st,2024/25,Old Rutlishians,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Tom M,True
1st,2024/25,Old Rutlishians,7,C3,New,C,Dummy,Middle,True,False,False,,Ben,Tom M,True
1st,2024/25,Old Rutlishians,7,C3,New,C,Dummy,Middle,False,True,False,,Ben,Tom M,True
1st,2024/25,Old Rutlishians,7,C2,New,C,Move,Front,True,False,False,,Ben,John,True
1st,2024/25,Old Rutlishians,7,H2,New,H,Jump,Front,True,False,False,,Ben,Ryland,True
1st,2024/25,Old Rutlishians,7,H3,New,H,Jump,Middle,True,False,False,,Ben,John,True
1st,2024/25,Old Rutlishians,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Tom M,False
1st,2024/25,Old Rutlishians,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,John,True
1st,2024/25,Old Rutlishians,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,John,False
1st,2024/25,Old Rutlishians,7,H2,New,H,Jump,Front,True,False,False,,Ben,John,True
1st,2024/25,Old Rutlishians,7,H2,New,H,Jump,Front,True,False,False,,Ben,John,True
1st,2024/25,Old Rutlishians,7,A*,New,A,Jump,Middle,True,False,False,,Ben,John,True
1st,2024/25,Old Rutlishians,7,H2,New,H,Jump,Front,True,False,False,,Ben,John,True
1st,2024/25,Old Rutlishians,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Tom M,False
1st,2024/25,Cobham,7,H2,New,H,Jump,Front,False,False,False,,Ben,Ryland,False
1st,2024/25,Cobham,7,A3,New,A,Dummy,Middle,True,False,False,,Ben,Sam,True
1st,2024/25,Cobham,7,A2,New,A,Dummy,Front,False,False,False,,Ben,Ryland,True
1st,2024/25,Cobham,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2024/25,Cobham,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Sam,False
1st,2024/25,Cobham,7,H3,New,H,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2024/25,Cobham,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2024/25,Cobham,7,A2,New,A,Dummy,Front,True,False,False,,Ben,Ryland,False
1st,2024/25,Cobham,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2024/25,Cobham,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2024/25,Cobham,6,H3,New,H,Jump,Middle,False,False,False,,George,Sam,False
1st,2024/25,Cobham,7,A2,New,A,Dummy,Front,False,False,False,,George,Rory,True
1st,2024/25,Cobham,7,C3,New,C,Dummy,Middle,False,False,False,,George,Sam,True
1st,2024/25,Old Haileyburians,7,A3,New,A,Dummy,Middle,True,False,False,,George,Tom M,True
1st,2024/25,Old Haileyburians,7,C1,New,C,Move,Back,False,False,False,,George,Sam,False
1st,2024/25,Old Haileyburians,7,H3,New,H,Jump,Middle,False,False,False,,George,Tom M,False
1st,2024/25,Old Haileyburians,7,A3,New,A,Dummy,Middle,False,False,False,,George,Tom M,True
1st,2024/25,Old Haileyburians,7,C1,New,C,Move,Back,False,False,False,,George,Sam,False
1st,2024/25,Old Haileyburians,7,H3,New,H,Jump,Middle,False,False,False,,George,Tom M,True
1st,2024/25,Old Haileyburians,7,C3,New,C,Dummy,Middle,False,False,False,,George,Tom M,False
1st,2024/25,Old Haileyburians,4,Snap,4-man only,,Jump,Front,False,False,False,,George,Oscar,True
1st,2024/25,Old Haileyburians,7,H3,New,H,Jump,Middle,False,False,False,,George,Tom M,True
1st,2024/25,Old Haileyburians,7,H3,New,H,Jump,Middle,False,False,False,,George,Tom M,True
1st,2024/25,Weybridge Vandals,7,H3,New,H,Jump,Middle,False,False,False,,Ben,Tim,True
1st,2024/25,Weybridge Vandals,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Tim,True
1st,2024/25,Weybridge Vandals,7,A2,New,A,Dummy,Front,True,False,False,,Ben,Rory,True
1st,2024/25,Weybridge Vandals,7,C3,New,C,Dummy,Middle,False,False,False,,Ben,Tim,False
1st,2024/25,Weybridge Vandals,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,Rory,True
1st,2024/25,Weybridge Vandals,7,C1,New,C,Move,Back,False,False,False,,Ben,Sam,True
1st,2024/25,Weybridge Vandals,7,A3,New,A,Dummy,Middle,False,False,False,,Ben,Tim,False
1st,2024/25,Weybridge Vandals,7,C3,New,C,Dummy,Middle,True,False,False,,Ben,Tim,True
1st,2024/25,Weybridge Vandals,7,C2,New,C,Move,Front,False,False,False,,Ben,Rory,False
1st,2024/25,Weybridge Vandals,4,,Other,,Jump,Back,False,False,False,,Ben,Sam,False
1st,2024/25,Weybridge Vandals,4,Yes,4-man only,,Move,Middle,False,False,False,,Ben,Sam,False
1st,2024/25,Weybridge Vandals,7,A2,New,A,Dummy,Front,False,False,False,,Ben,Rory,True
1st,2024/25,Weybridge Vandals,7,H3,New,H,Jump,Middle,False,True,False,,Ben,Tim,True
1st,2024/25,Weybridge Vandals,6,C3,New,C,Dummy,Middle,False,False,False,,Ben,Tim,False
1st,2024/25,Weybridge Vandals,6,H3,New,H,Jump,Middle,False,False,False,,Ben,Tim,True
1st,2024/25,Weybridge Vandals,6,H3,New,H,Jump,Middle,False,False,False,,Ben,Tim,False
1st,2024/25,Weybridge Vandals,6,H2,New,H,Jump,Front,True,False,False,,Ben,Oscar,True
1st,2024/25,Twickenham,7,A*,New,A,Jump,Middle,False,False,False,,George,John,False
1st,2024/25,Twickenham,7,A3,New,A,Dummy,Middle,False,False,False,,George,Sam,True
1st,2024/25,Twickenham,7,C*,New,C,Jump,Middle,False,False,False,,George,Tim,False
1st,2024/25,Twickenham,7,A3,New,A,Dummy,Middle,False,False,False,,George,Sam,True
1st,2024/25,Twickenham,7,C1,New,C,Move,Back,False,False,False,,George,Sam,True
